target,source
Aku punya desa di monitor saya.,I've got the village on my monitor.
Kenapa kau terlihat begitu cemas?,Why do you look so worried?
Kanan.,- Right.
"Bila kau meragukan diri sendiri,.. Kau tak perlu meragukanku juga..","When you doubt yourself, you don't have to doubt me too."
Terima kasih.,Thank you.
Siapa yang memerintahkan?,Who pulled them?
"Untuk apa kalian mengatakan omong kosong itu, huh?","Why do you guys pull this horseshit, huh?"
Karena aku... aku mengajukan pertanyaan.,'Cause I... I'm asking a question.
"Maksudku, seberapa burukkah aku?","I mean, how bad could I be?"
Mengapa aku mendapat seperti mobil ini?,"Oh, fuck! Why did I grab a stick shift?"
Aku mencoba... memanggilnya.,I tried ... calling him.
"Itu benar, kita bisa dapatkan target yang lebih besar, John.","Cooper made the call, and it was the right one. You go for the highest target, John."
"- Oh, sabar.","- Oh, chilling."
aku yakin mereka juga akan di tangkap.,I am sure they will be attacked too.
Okay.,Okay.
tenanglah..,Please remain calm.
"Pak, aku tahu Anda mencoba bawa kami ke tempat yang lebih baik, tapi lihatlah.","Sir, I know you're trying to take us to a better place, but look around."
Dia berbelok ke timur menuju Jalan Mulberry.,Mulberry Road.
"Kau terasa begitu jauh, namun begitu dekat...","You were far away, yet so close, now you're close, yet distant."
Ceritanya terdengar lazim.,I think clark wrote paper about it in high school
"Lihat, seseorang menanam sesuatu yang baru.","Look, someone planted something new."
Apa yang kau bicarakan?,What on earth are you talking about?
Tidak!,No!
Benz!,Benz!
Berikan itu.,Give it here.
"Dengan hormat, kau juga akan menarik ketenaran.","With respect, you will also attract fame."
Kenapa?,Why?
Pemandangan yg dramatik.,Dramatic views.
"Persetan dengan penjelasanmu, Stone!","Fuck your clarifications, Stone."
Ibu ingin tahu?,You wanna know?
Ya. / Dia bisa membantu.,- Yes. - He can help.
"- Oh, ya, kamu lakukan","- Oh, yeah, you did."
Gadis seperti apa yang kau cari?,What kind of girl are you looking for?
Mereka pakaikan kamu Meth?,He uses Meth you?
Akan lama lagi untuk terulang.,Haven't had an attack for ages.
"Program pertukaran sekolah, lulusan sekolah, kibbutz- atau apalah.","School exchange programs, graduate school, kibbutz- anything."
Saya bekerja di dapur dan dia datang di belakang saya.,I was working in the kitchen and he comes in behind me.
Dapurnya bersih.,Kitchen's clear.
"Ya, terima kasih.","Yes, thank you."
"Di situ tempatnya, Nanda Parbat.",There it is. Nanda Parbat.
Dan sekarang aku ingin kau menceritakan tentang dirinya.,And now I want you to tell me about her.
"Sedikit konyol, gendut.","Hey, Edgar, what's the deal with Captain Sulu? He afraid to compete?"
"A, sangat patriotik microwave bacon.","A very patriotic, microwave bacon."
Keren sekali.,That's just awesome.
Kami tidak melakukan apa-apa.,We don't do anything.
"- seperti yg selalu kau harapkan, betul kan?","- just what you always wanted, huh?"
Dia akan membenciku.,"Oh, he'll hate me, for sure."
Bertahanlah!,Hang on!
Kita akan berlatih atau tidak?,Are we training or not?
JONAH:,JONAH:
Kemari.,Hey. Here.
Matikan itu.,Sluk for det der.
"Kita katakan saja, dia akan melahapmu, pak.","Let's just say she will eat you up, sir."
Kau penting.,You is important.
Veto ke carajo.,Veto to the carajo.
"Baiklah, maka dia bukan penasihat yang baik.","Well, then he's not a good advisor."
"Cepat, cepat, cepat !","Go, go, go!"
Yeap.,Yeap.
"Kau tau, aku bosan dengan kecemburuanmu, Carmen.","You know, i am tired of your hostility, carmen."
Setidaknya memikirkan MacBadger miskin!,At least think of poor MacBadger!
Kau mengerti itu?,You got that?
- Ini.,- Here.
"Benar, hanya bersantai.","Right, just relax."
Biar aku.,I got it.
Dan kemudian anak-anak mulai menghilang.,And then the children began to disappear.
Payudara siapa ini?,- Whose tits are these?
Kau membuangnya.,You threw them out.
Misinya.,The mission.
Dan inilah rupa Macha itu !,And this is what Macha looks like.
Tidak jika uang yang diinvestasikan berasal dari rekening pribadi. Kupikir wanita muda dari Nolcorp berusaha mengendus apakah kontrak Clarke mengandung suatu klausa ekslusif.,Not if the money he invested came from a personal account.
- Apa maksudmu?,-What are you talking about?
- It is awesome.,- It is awesome.
"- Oh, Tuhan !","- Oh, God!"
Tak seorangpun pernah memilih Oklahoma-Mi...,Nobody ever had Oklahoma-Mi...
"Oh, prosedurnya sederhana, ke titik keanggunan.","Oh, the procedure is simple, to the point of elegance."
"Apakah kau pikir, aku akan menghalangi jalanmu?",Did you think that I would make a fuss to stop you from doing it?
Dah.,Bye.
Sama juga.,Just as well.
Jadi itu semua yang terjadi?,And that's all you can think of?
"tongkat yang akan pergi dari ""tidak bisa menyentuh ini"" untuk ""sentuhan tak terlihat.""","That staff's going to go from ""can't touch this"" to ""invisible touch."""
Selamat datang di Sex 101.,Welcome to Sex 101.
Benar.,Right.
{\cH80FFFF}Tak ada alasan.,No reason.
- Jangan biarkan musuh menang melawan dia .,- Let not the enemy prevail against her.
Aku tak keberatan asal mereka senang.,What can you do? I don't mind as long as they're happy.
Dia akan menghasilkan tenaga seperti mesin balap tapi dapat diandalkan seperti traktor.,She'll put out power like a racing engine but be as reliable as a tractor.
Apakah Anda yakin ingin minum sesuatu?,Are you sure you want to drink anything?
- Jalankan untuk hidup Anda!,- Run for your lives!
Tidak.,No.
- Jalang !,- Bitch!
Aku sedang berada di lingkungan?,I was in the neighborhood?
- Sally berperan sebagai Caroline.,- Sally will be playing Caroline.
jadi kau mengatakan pada iblis di mana pedangnya berada.,I see you told the demons where the sword is.
- Benar sekali.,- That's right.
Jellybean.,Jellybean.
- Baiklah.,Alright.
Aku pikir dia menginginkan SIM dan STNK!,I think he wants more than your license and registration!
Itu adalah hadiah.,They were a gift.
Kau tak harus berdusta untuknya.,You don't have to lie for her.
"Sekarang, kau masih mengenakannya.","Now, you dress the part still."
- Apa?,- What?
Sam.,Sam
Siapa yang akan menggantikan tugasku?,Who am I gonna get to cover my shift?
Tentu saja.,Absolutely.
"Sebenarnya, Conrad baru saja menggantinya dengan menawariku wawancara ekslusif tentang pernikahan kalian nanti.","Actually, Conrad just made up for it by offering me an exclusive on your upcoming wedding."
Kita harus memastikannya.,We've gotta be sure.
Tentu saja!,Fly over there. Save her.
"Aku tidak peduli dengan skuad poxy mereka, kau mengerti?","I don't give a fuck about their poxy squad, do you understand me?"
Dia tinggal di sana enam minggu.,He's lived there six weeks.
Baik.,Okay.
Untuk sekarang.,For now.
Tapi wanita yang bicara denganku minggu lalu dia bilang akan mencari.,But the woman I spoke to last week said she would look.
Bukan aku yang mereka cari.,It's not me that they're looking for.
Bangun!,Get up!
"Aku ulang lagi, oke?",I had learned this when I was in 5th or 6th grade.
"Seperti Benih Randa Tapak, menyebar bagian tubuhnya ke arah manapun kecuali dirinya.","Like dandelion seeds, casting bodies in every direction but his own."
Lihat,Look.
Terima kasih.,Thanks.
Aduh!,Ow!
Mengapa engkau begitu berubah?,Why have you changed so?
Anda telah menyeberangi gurun besar.,You have crossed the great wasteland.
Ini adalah dingin!,It is cold.
Jake.,Jake.
Ayolah.,Come on.
Kamu tidak akan proyekkan mereka itu mereka di tengah berat akankah kamu?,"But it wouldn't be fair to them, either. You wouldn't put Jack Dempsey in the ring with a middleweight. Would you?"
Ayahku ingin mengalahkannya.,He wanted to get him.
Rasanya tidak enak.,It tastes like ass.
"Apa pun yang Anda mengharapkan kita untuk melakukan atau berpikir Anda bisa kita lakukan, Anda tahu, biarkan apos; s hanya mulai dari awal.","Whatever it is you expect us to do or you think we can do, you know, let's just start from the beginning."
Setelan bagus.,Nice suit.
"Sudahlah, itu.","Never mind, then ."
Dan lain pasukan senapan mesin.,And another machine gun squad.
- Nyanyikan lagu.,-Sing a song.
"Kau akan mati, brengsek!","You're finished, asshole!"
Adam,Adam!
Kawanan Hyena!,Hyenas!
"Ya, Anda bisa, Valerie.","Yes, you can, Valerie."
- Mr Church--,- Mr. Church--
Tapi sekarang kau berbalik badan.,Now you're turning your back on it.
Keith?,You can't do that!
"Harley, Alvin, tenangkan dirimu.","Harley, Alvin, you settle down."
"Kau dapat piringan Rolls Royce berlapis emas, selama kau bayar untuk itu.","You get a gold-plated Rolls-Royce, as long as you pay for it."
Kau Kira orang Korea hanya berurusan dengan orang Korea.,You think all Koreans are Korean and shit.
Teka-teki?,A riddle?
Aku harus menemukan cara untuk perbaiki bagaimanapun caranya,I... uh... I have to fix this somehow.
"Aku tahu kau masih trauma gara-gara perampokan itu, tapi kesabaranku sudah habis.","I realize you're still traumatized by the break-in, but my patience has officially expired. [Door opens]"
Apa Detektif Ahn datang atau tidak?,Did Detective Ahn come?
Itu artinya mereka akan mendatangi kita atau mereka mati.,Which means they either come to us or they die.
"Jika kau begitu penasaran, pastikanlah.","If you're so curious, make sure yourself."
[Breathes heavily],[Breathes heavily]
Ini viola.,This is a viola.
Apa itu benar ?,Is that real?
"- Jelas, aku tau.","- Of course, I see."
"- Mengapa, apakah itu akan berhasil?","Why, would that work? No."
- Tidak ada yang perlu dikhawatirkan.,- Nothing to worry about.
"Tapi jika menurut kalian pria itu... sanggup membunuh orang, kirimkan surel ke...","But if you think that man's capable of killing people, e-mail me at..."
"Harusnya aku paling tidak memikirkan kemungkinan kalau itu nyata, ...yang telah kau lihat.",I should have at least considered the possibility that it was real... what you were seeing.
"Ya, ya.","Yeah, yeah."
Aku tidak percaya Aku mengatakan ini-- Semacam madu digital atau sesuatu?,I can't believe I'm saying this-- some kind of digital honey or something?
Boss...,Boss..
Tiarap! ...,On the gro...
Saya adalah pengagum beratmu.,- I'm a great admirer.
"Jika ya, maka lupakan saja.","If it is, then forget it."
Tapi ini bukan kencan.,But this isn't a date.
Apa ini tentang Arthur?,What's this about Arthur?
"Kupikir aku bersikap pintar, mengunci semuanya di dalam jurnal.","I thought I was being smart, locking it all up in a journal."
Berikan pada Papa.,Give it to your father.
Seharusnya aku sendiri yang membunuhmu.,I should've killed you myself.
"Um, aku mengkonsumsi multi-vitamin, flax minyak zaitun... kalsium, zat besi.","Um, I take a multi-vitamin, flax seed oil... calcium, iron."
"Dia yang membangun diatas orang2, ternyata telah membangun diatas lumpur.",He who builds on the people builds on mud.
- Thanks.,- Thanks.
Oke jelas kau tidak boleh berada di situs ini.,"Okay, see, that's why you shouldn't be on this site."
Bocah itu bolos?,- What? He's skipping class?
Kupikir kita di sini saja di halaman Miss Stephanie.,I think we ought to stay right here in Miss Stephanie's yard.
Anak itu punya Daya Tempur jauh melebihi kalian ber-2.,That kid has a battle power far higher than you two.
Pendaratan yang keras.,Crash-land.
"Ya, kamu tahu, Saya yakin reviewnya akan...","Yeah, you know, I'm sure the reviews will be..."
Itu uangku!,- That's my money!
Gatal mengingatkanmu kalau kau masih hidup.,Itching reminds you you're alive.
!,!
Maksud gue lo dari mana?,"I mean, where are you guys from?"
"Hei, kita pompa di beberapa gas, flush Jesse seperti tikus dia.","Hey, we pump in some gas, flush out Jesse like the rat he is."
- Jadi anjing itu berubah menjadi walikota kita.,- So that dog turned into our mayor.
Merci.,Merci.
- Awas!,- Look out!
Sangat mudah untuk bercerita tentang orang lain,It's easy to tell a story about someone else
{\fnCandara\fs35\b1\4cH000000\4aH80}Kau menjauhlah dari kami. Anna.,You stay away from us.
- Siapa dia ?,- Who's that man?
Menurutmu Paul ada hubungannya dengan hal ini?,You think Paul had something to do with this?
"Dia lembut, sama seperti Ibu.","He's gentle, like Mom used to be."
"Dia berkata ,",He said...
"Aku mencari beberapa rekaman lama mereka karena, kau tahu, aku hanya....","I dug up some of their old home movies because, you know, I was just..."
- Kludd!,- Kludd!
tapi aku baru dapat... aku tidak ingin kau pergi.,But I just got... I don't want you to leave.
Mereka tidak akan membiarkanmu masuk,They won't let you in.
"Guru, biarkan kutatap wajahmu sekali lagi.","Master, let me stare at you once more"
"Kamu telah membuatku benar-benar tidak punya pilihan,","You make me really no choice,"
- Enak sekali,lit's delicious
Aku tidak tahu rencana kita akan menjadi bumerang.,I didn't know our plan would backfire in such a way.
Aku turut berduka soal Dani.,I'm so sorry about Dani.
"Hey, Faye yg adil ingin membantu kita semua, jadi...","Hey, the fair Faye wishes to address us all, so it's..."
"Hei,hei,hei,janganmengendusitu, kecuali jika kamu benar-benar ingin berbaring di lantai di sini lumpuh selama satu jam berikutnya.","Hey, hey, hey, don't sniff that, unless you really want to lie on the floor here paralyzed for the next hour."
"Bagus, saya akan mendapatkan uang siap. itu 100.000 baht (3 000 $), kan?","Great, I will get the money ready. It was 100000 baht ($3300), right?"
Tidak ada gunanya.,It's no use.
Jadi...,So...
Aku membutuhkanmu.,I need you.
Aku hanya akan tidur.,I'm just going to bed.
Bagaimana dengan kondisi mental Soneji ?,What about Soneji's state of mind?
Lompat.,Jump.
Beritahu aku sesuatu yang bagus,¶¶Tell me something good ¶¶
Tentunya semua petualangan kalian ini tidaklah teratur?,Surely all your adventures are not this disorganized?
"""Aku Memang Pantas Dibenci"".",I know the world has every reason to hate me.
Kau tidak punya hal semacam itu?,"You don't have anything like that, do ya?"
"Berapa banyak jari ku? Ayo, Pepe, berapa banyak jari ku?","Come on, Pepe, how many fingers I got up?"
Kau tampak hebat.,You look great.
Kau suka kopi?,- Do you fancy a coffee?
"- dengar, Larry, tak usah kuatir ok....... kau ditangani orang yang tepat....","- Listen, Larry, there's nothing to worry about, okay? You're in good hands. I need you to relax."
"kelas kami adalah kelas 1 kelompok Ha,","Our classroom is Grade 1, Class Ha."
Sial.,Fuck. Fuck.
Itu akan membunuhku. Anda hanya perlu membuat dia menggunakannya.,It would kill me.
"B tard **, katakan padaku, di mana kau?","B**tard, tell me, where are you?"
Hanya sedikit.,Just a little.
Di tempat saya.,At my house.
- Apa dia sudah menikah?,Was she ever married?
Itu bohong!,That's a lie!
Mengalir seperti aliran sungai.,Like butter.
Ini bukan mainan.,This isn't some kind of game.
"Besok, di depan Gedung Putih Presiden akan membuat pengunguman.","Tomorrow, in front of the White House, the President will make his announcement."
